smiles,smiles_stereo,activation_energy,reaction_energy,SAScore,time,n_cpus,outlier,Ea,Er,sum_Ea_Er,diff_Ea_Er
CC=CC(C)=CC=CC=CC1CC2CC1C13CC21C1C=CC3C1,C/C=C/C(C)=C/C=C\C=C\[C@H]1C[C@H]2C[C@@H]1[C@]13C[C@]21[C@@H]1C=C[C@H]3C1,78.90824630679674,-10.812912803531257,6.507356477384308,132.53885889053345,24,False,78.90824630679674,-10.812912803531257,10000.0,10000.0
OC1=CC2C(c3ccccc3)C1C13CC21C1CCC3C1,OC1=C[C@H]2[C@@H](c3ccccc3)[C@@H]1[C@]13C[C@]21[C@@H]1CC[C@H]3C1,91.26064690185008,7.454271232569268,5.713202771649973,39.666178464889526,24,False,91.26064690185008,7.454271232569268,98.71491813441936,-83.80637566928081
IC=CC1=CC2CC1C13CC21C1CCC3S1,I/C=C/C1=C[C@H]2C[C@@H]1[C@]13C[C@]21[C@@H]1CC[C@H]3S1,91.0340329663882,8.809625804540646,7.038059384546913,48.79101014137268,24,False,91.0340329663882,8.809625804540646,10000.0,10000.0
OC12CCC(O1)C13NC21C1CC3C=C1Cl,O[C@@]12CC[C@@H](O1)[C@@]13N[C@@]21[C@@H]1C[C@H]3C=C1Cl,88.31368668114686,4.91132239523258,6.921453809907876,35.379141330718994,24,False,88.31368668114686,4.91132239523258,10000.0,10000.0
CC=CC=CC1=CC2CC1C13OC21C1CC3CC1C,C/C=C/C=C/C1=C[C@@H]2C[C@H]1[C@@]13O[C@@]21[C@@H]1C[C@H]3C[C@H]1C,89.25609011810651,6.051081505552846,6.498441658789808,68.61290454864502,24,False,89.25609011810651,6.051081505552846,10000.0,10000.0
C=CC=CC1C2C=CC1C13CC21C1CC(c2ccccc2C)C3C1,C=C/C=C/[C@H]1[C@@H]2C=C[C@H]1[C@]13C[C@]21[C@@H]1C[C@@H](c2ccccc2C)[C@H]3C1,76.25974042010972,-6.119624682370677,6.103451229656978,153.7258083820343,24,False,76.25974042010972,-6.119624682370677,10000.0,10000.0
OCNC1CC2CC1C13CC21C1C=CC3C1,OCN[C@H]1C[C@H]2C[C@@H]1[C@]13C[C@]21[C@@H]1C=C[C@H]3C1,78.62343604176827,-8.132267729693577,6.514967055812254,83.93186211585999,24,False,78.62343604176827,-8.132267729693577,10000.0,10000.0
C=CC=CC12CCC(C1)C13CC21C1CC3C=C1O,C=C/C=C/[C@@]12CC[C@@H](C1)[C@@]13C[C@@]21[C@@H]1C[C@H]3C=C1O,90.22954360740924,7.030785947656429,6.813921475565669,74.72715926170349,24,False,90.22954360740924,7.030785947656429,10000.0,10000.0
CC=CC=CC1CC2CC1C13CC21C1C=CC3C1CCCl,C/C=C/C=C/[C@H]1C[C@H]2C[C@@H]1[C@]13C[C@]21[C@@H]1C=C[C@H]3[C@@H]1CCCl,78.10834839668384,-10.372665071122086,6.686305840010136,93.51703119277954,24,False,78.10834839668384,-10.372665071122086,10000.0,10000.0
CC=CC=CC=CC1=CC2CC1C13CC21C1CC3CC1CF,C/C=C/C=C/C=C/C1=C[C@@H]2C[C@H]1[C@@]13C[C@@]21[C@@H]1C[C@H]3C[C@H]1CF,87.6771376266372,8.551229793175732,6.661134787487012,75.66845774650574,24,False,87.6771376266372,8.551229793175732,10000.0,10000.0
